title	genre	singers	writers	composers	lyrics
Το Λαύριο φέγγει 2015	-	Βασίλης Παπακωνσταντίνου	Απόστολος Μπουλασίκης	Απόστολος Μπουλασίκης	Άσφαλτος που ζωντανεύει. Τον χρησμό τον δρόμο. Πως ξεχνιέσαι στις στροφές του. Χάνεσαι στον χρόνο. Ποιοι χαρταετοί στο βλέμμα. Σου μιλούν για δέρμα. Λες το χρώμα είναι κέρμα. Κι όλα τα άλλα ψέμα. Α των μεταλλείων η σκουριά. Πάνω στην μάντρα μου γελά. Κι εσύ να λες είναι το κάρμα. Α μια ξεχασμένη μυρωδιά. Από λυχνίτη και φωτιά. Κι εσύ να ζεις ξανά το δράμα. Κοίτα γύρω σου τις χώρες. Του κρυφού του φόβου. Των χρωμάτων τη μαγεία. Τη ματιά του νόστου. Φως γαλάζιο σε τυλίγει. Και η πόλη γέρνει. Της Μακρόνησου καθρέφτης. Δες το Λαύριο φέγγει. Α το δέρμα θα σου το πει. Πως η σιωπή είναι ντροπή. Δες γύρω φλέγεται ο χάρτης. Α δε θα με αγγίξει ο καιρός. Κύτταρο είμαι του παντός της αρμονίας μετανάστης.
Το λευκό το κυπαρίσσι 1996	-	Μελίνα Κανά Νίκος Ξυδάκης Δώρα Μασκλαβάνου	Θοδωρής Γκόνης	Νίκος Ξυδάκης	Το λευκό το κυπαρίσσι, η κρυφή πηγή, είναι του χάροντα η βρύση η παντοτινή. Όσο κιαν διψάει η ψυχή σου δροσερό νερό, μην το σβήνεις το κορμί σου στο ποτάμι αυτό. Όσο καίγεσαι και θέλεις φως και ξαστεριά, μην αλλάζεις τη φωτιά σου με τη λησμονιά.
Το λουλούδι 2009	-	Μαρίνα Δακανάλη	-	-	Αν θέλεις κάτσε κοίτα με αν θέλεις μύρισέ με αν θες να μάθεις μυστικό κόψε με κράτησέ με. Φώναξε ρώτα με αγαπά, ρώτα δε με αγαπάει το τελευταίο πέταλο πάντα στο μαρτυράει. ότι σου πει αληθινό μα θα σου πει και το άλλο η ομορφιά μου θα χαθεί.
Το ματσιφτάρι	-	Θανάσης Παπακωνσταντίνου	Θανάσης Παπακωνσταντίνου	Θανάσης Παπακωνσταντίνου	Όσα σπυριά έχει ο πλαλτός όπου χωράει στη γκούμπζα τόσο στο μάτσεμα εύκολος πέρασα δεν ακούμπησα. Πισπίλη είχα δύστροπο που πάθαινε λουμπάγκο γιατί συνέχεια μάνευα γαβρί και νταλαμάγκο. Όμως μια γκρέντζω πονιτική που τσιούλητσε τι τραβούσα ξεχώθηκε έναν καλόγερο στο κούφιο που αγρυπνούσα. Λαγέ μου να πεις στη μάνα σου να ανάψει μια τζιαμάλω να φτιάξει μια μελαχρινή ζιούμπενα δίχως άλλο. Μόνος να τη φχαριστηθείς μόνος να τη μανέψεις και το άλλο γιόκα μου το πρωί σίγουρα θα ματσέψεις. Κι όπως τα είπε γένηκαν κι αφού έγινα μουσκίδι το βγαλα ένα μονάχο του βαρύ σαν το μολύβι. Από της χαράς τα κλάματα με πήρανε κι οι γκντάμες σαν το έμαθε κι ο κούρκουλας βαράει τις καμπάνες. Λέφτερος πια ήμουν κι έμορφος κι γρήγορα την πάτησα σα γνώρισα και παντρεύτηκα μια αγκίδα που είχε τσιάτσια. Ευθύς μετά τα στέφανα και βάλτσαμε ντισέρι κι πήγαμε όπως όλοι σας ταξίδι σε άλλα μέρη. Σε ένααπό αυτά είχε θάλασσα κι μι ήρθε να βουτήξω με το συντρόφι ρίχνομαι τον πάτο για να αγγίξω. Γυαλίζω τους άλλους και κουνώ διγκράνια κι αγωγιάτες μα ξάφνου νιώθω ένα άγγιγμα πίσω κει δα στις πλάτες. Μία φωνούλα με καλεί. Αφέντη μου, παλληκάρι μου, γυρνώ και βλέπω ολόγυρα κλώθει το ματσιφτάρι μου.
Το μαύρο τρένο 2017	-	Μανώλης Φάμελλος Φωνητικά - Μαζί με Τηλαβερίδη Κώστα	Κώστας Τηλαβερίδης	Κώστας Τηλαβερίδης	Δεν ξέρω πώς ζεις, δεν με νοιάζει πού μένεις, αν όνειρα έχεις ή αν όνειρα πουλάς. Αν πάλι μπορείς στη βροχή να χορεύεις, αν σέρνεσαι, αν τρέχεις ή αν περπατάς. Ξέρω μονάχα πως περνάει και ξεχνάει το μαύρο τρένο της ζωής και στα βαγόνια του τα φώτα είμαστε εμείς. Και κάθε ώρα που χτυπάει, σου ζητάει ένα χαμόγελο να βρεις γιατί τον χρόνο δεν τον νίκησε κανείς. Χειμώνας περνάει τον ίσκιο του σέρνει, η μέρα γερνάει κρύα νύχτα μας φέρνει. Σε ποια γειτονιά σκοτείνιασε ο δρόμος και εγώ είμαι μόνος κι ας μένεις κοντά. Ξέρω μονάχα πως περνάει και ξεχνάει. Χωρίς οδηγό τα ίχνη διαβάζω, χωρίς να κοιτάζω την άκρη θα βρω. Δεν ξέρω πώς ζεις, δεν με νοιάζει πού μένεις, ακόμα προφταίνεις να με βρεις ζωντανό.
Το μεγάλο κύμα 2011	-	Χρήστος Θηβαίος	Βαγγέλης Κοντόπουλος	Βαγγέλης Κοντόπουλος	Μες στα σκοτείνα νερά και στα βάθη της ερήμου πάντα έφτανε η ζωή μου. Δεν υπάρχουν δρόμοι εκεί πίσω σβήνουνε τα χνάρια πέφτουν στο κενό τα ζάρια. Καραβάνια που μακραίνουν λες και χάνονται μέσα στα φεγγάρια της σιωπής όλες οι φωνές ξυπνούνε μα εσύ μη φοβηθείς. Έχει η θάλασσα φωτιά και το κύμα σκαλοπάτια η ψυχή μου χίλια μάτια. Αν μπορείς να κρατηθείς κι αν γυρέψεις να με φτάσεις κύματα να βελονιάσεις. Με καραβια που μακραίνουν πάλι χάνομαι κι ίσως θα μπορέσεις να με βρεις κάτω από το μεγάλο κύμα στο όριο της αντοχής.
Το μεράκι της καρδιάς μου 1948	-	Σωτηρία Μπέλλου Στελλάκης Περπινιάδης	Γιώργος Μητσάκης	Γιώργος Μητσάκης	Είχα κι εγώ ένα μεράκι στην καρδιά μου κι από ντροπή το είχα πάντοτε κρυφό η μπαμπεσιά όμως που μου έκανες κυρά μου σε όλους τους φίλους μου θα κάτσω να το πω. Λίγα μπιζού και δυο στολίδια τιποτένια αυτά σε κάνανε για να με αρνηθείς να μην ξεχνάς όμως να το έχεις πάντα έννοια, ω με ίδιο νόμισμα κι εσύ θα πληρωθείς. Κι εγώ να ξέρεις στο εξής πια δε ν θα κλάψω έστω ακόμα κι αν μου πουν πως δυστυχείς όπως με πέταξες κι εγώ θα σε πετάξω ωωωω εδώ θα ήμαστε και να το θυμηθείς
Το μηδέν αντί για σένα 2018	-	Ελεωνόρα Ζουγανέλη	Νίκος Μωραΐτης	Στέφανος Κορκολής	Σήμερα κόντεψα να σου τηλεφωνήσω. Πήρα ένα ένα όλα τα νούμερα σχεδόν. Όμως την κρίσιμη στιγμή έκανα πίσω. Το παρελθόν είναι για πάντα παρελθόν. Έτσι πήρα το μηδέν αντί για σένα. Ένα τίποτα, ένα σύννεφο σιωπές. Πώς δειλιάσανε τα δάχτυλα μου πες. Κι έτσι μείναν μεταξύ τους κολλημένα. Έτσι πήρα το μηδέν αντί για σένα. Τη στιγμή που θέλει να έχεις αντοχές. Όλοι οι φόβοι μου με λύγισαν εμένα. Κι έτσι πήρα το μηδέν αντί για σένα. Και άμα έπαιρνα και άμα απαντούσες. Ποιος θα σου έλεγα ότι είμαι, ποια φωνή. Πώς να σου πω είμαι αυτή που αγαπούσες. Όταν εσύ έχεις μια άλλη πια ζωή; Την ώρα που τα σώματα δεν είχαν ονόματα.
Το μίσος 2014	-	Γιώτα Νέγκα	Γεράσιμος Ευαγγελάτος	Θέμης Καραμουρατίδης	Σε ώρες άσχετες αργά σε παίρνω και δεν κλείνω ρωτάς ποιος είναι τσιμουδιά απάντηση δε δίνω. Μονάχα ανασαίνω σε ακούω και σωπαίνω. Με απελευθερώνει κι όμως δεν τελειώνει αυτό το μίσος όσοι μένουν μόνοι με νιώθουν ίσως. Ένας θυμός, ένα καπό και τα παλιά κλειδιά μου καθώς θα βρίζεις θα κρυφτώ μαζί με τη σκιά μου. Σε ακούω και σωπαίνω μονάχα ανασαίνω. Με απελευθερώνει κι όμως δεν τελειώνει αυτό το μίσος όσοι μένουν μόνοι με νιώθουν ίσως
Το μπολερό της Μαρίας	Καημός	Λιδάκης Μανώλης	Βουγιουκλάκης Κώστας	Παπαδοπούλου Μαρία	Μια ηλιαχτίδα μου φώτισε ξανά τη γλυκιά χαμένη Παναγιά μύρο της ζωής κοντά μου γύρε, μην αργείς για να μου πεις το παλιό τραγούδι της ψυχής! Τώρα θα γίνει ο καημός ύμνος εσπερινός σήμαντρο στην αστροφεγγιά κι ο πόθος της καρδιάς ψαλμός στην Παναγιά! Σαν μαϊστράλι μου ζέστανες ξανά την πικρή, φτωχή μου αγκαλιά χάδι της ζωής απόψε θέλω μια στιγμή τα χερουβείμ στο γλυκό μπολέρο της ψυχής. Τώρα θα γίνει ο καημός ύμνος εσπερινός σήμαντρο στην αστροφεγγιά κι ο πόθος της καρδιάς ψαλμός στην Παναγιά!
